time_s,var1,var2,var3,var4,var5,var6,var7,var8
0.23333,61.3156,-30.9290,-47.8011,57.8459,75.1156,-65.3724,21.0842,-68.8809
0.23750,61.4442,-31.0505,-47.8321,57.8179,75.2132,-65.3954,21.0929,-68.8904
0.24167,61.7330,-31.0655,-47.8544,57.8095,75.3372,-65.4256,21.1072,-68.8743
0.24583,62.0196,-31.0404,-47.9029,57.7807,75.4997,-65.4611,21.1438,-68.8531
0.25000,62.0609,-31.0721,-47.9544,57.7891,75.6122,-65.4823,21.1557,-68.8433
0.25417,62.4342,-31.0781,-47.9820,57.7890,75.7436,-65.6101,21.1381,-68.8692
0.25833,62.4215,-31.1464,-48.0414,57.7732,75.8750,-65.5648,21.2052,-68.8120
0.26250,62.7214,-31.1053,-48.1053,57.7826,76.0637,-65.6352,21.3009,-68.7736
0.26667,62.8609,-31.0937,-48.1609,57.7705,76.2263,-65.6338,21.2763,-68.7603
0.27083,63.2754,-31.0562,-48.1833,57.7551,76.3739,-65.6447,21.2913,-68.7682
0.27500,63.2736,-31.1912,-48.2136,57.7213,76.4719,-65.6388,21.3106,-68.7870
0.27917,63.5328,-31.1843,-48.2444,57.7832,76.6185,-65.7843,21.4703,-68.7191
0.28333,63.6666,-31.1861,-48.3001,57.7182,76.7658,-65.7318,21.4609,-68.7496
0.28750,63.8591,-31.1809,-48.3524,57.7211,76.9204,-65.8116,21.4500,-68.7244
0.29167,64.0502,-31.1818,-48.4028,57.6475,77.0854,-65.7973,21.3858,-68.7910
0.29583,64.2969,-31.0840,-48.4869,57.6998,77.3104,-65.9012,21.5348,-68.6896
0.30000,64.7750,-31.1162,-48.4540,57.6870,77.4175,-65.9629,21.5895,-68.6891
0.30417,65.2858,-31.0076,-48.5134,57.6437,77.6335,-66.0005,21.6531,-68.6738
0.30833,64.9556,-31.2008,-48.5783,57.6535,77.7264,-66.0882,21.6756,-68.6827
0.31250,65.2628,-31.1072,-48.6357,57.6463,77.9525,-66.1527,21.7425,-68.6617
0.31667,65.2447,-31.1856,-48.6811,57.6255,78.0828,-66.2148,21.7782,-68.6609
0.32083,65.7985,-31.1351,-48.6929,57.6106,78.2809,-66.2645,21.8083,-68.6347
0.32500,65.6305,-31.2003,-48.7806,57.6121,78.4605,-66.3211,21.8689,-68.6108
0.32917,65.7866,-31.2449,-48.8197,57.5258,78.6453,-66.3856,21.9376,-68.6553
0.33333,65.9950,-31.2945,-48.8484,57.5338,78.8343,-66.4440,21.9825,-68.6251
0.33750,66.1911,-31.3258,-48.8884,57.4923,79.0371,-66.5111,22.0193,-68.6373
0.34167,66.5884,-31.2388,-48.9756,57.4962,79.3328,-66.5854,22.0826,-68.6087
0.34583,66.6546,-31.4365,-48.9688,57.4812,79.4589,-66.6130,22.1151,-68.5771
0.35000,66.7703,-31.4306,-49.0510,57.4871,79.7009,-66.6969,22.3723,-68.5339
0.35417,66.7228,-31.6053,-49.0934,57.3157,79.9033,-66.7008,22.2715,-68.6461
0.35833,66.9394,-31.6547,-49.1434,57.3355,80.1334,-66.8018,22.3186,-68.6040
0.36250,67.2970,-31.5797,-49.2691,57.2817,80.4582,-66.7885,22.3935,-68.6096
0.36667,67.3910,-31.7506,-49.2809,57.2139,80.6656,-66.8262,22.4718,-68.6085
0.37083,67.2283,-31.9774,-49.3309,57.2198,80.8415,-66.9007,22.5319,-68.5788
0.37500,67.3241,-32.1425,-49.3666,57.0559,81.0481,-66.8678,22.5223,-68.6271
0.37917,67.5958,-32.2094,-49.4439,57.0573,81.3067,-66.9011,22.5677,-68.6000
0.38333,67.8868,-32.2066,-49.5460,57.0090,81.5833,-66.9361,22.6036,-68.5710
0.38750,67.5602,-32.5260,-49.5804,57.0149,81.7301,-66.9934,22.6553,-68.5507
0.39167,67.6019,-32.6900,-49.6481,56.9188,81.9346,-67.0207,22.6941,-68.5509
0.39583,67.7963,-32.8039,-49.7299,56.9313,82.1688,-67.0436,22.7559,-68.5045
0.40000,67.6759,-33.0054,-49.7972,56.7952,82.3474,-67.0219,22.7614,-68.5592
0.40417,67.9471,-33.0891,-49.9089,56.7650,82.6037,-67.0519,22.8078,-68.5270
0.40833,67.6618,-33.4017,-49.9464,56.7732,82.7082,-67.0654,22.8607,-68.4814
0.41250,67.8161,-33.5456,-50.0150,56.6878,82.9034,-67.0806,22.8845,-68.4926
0.41667,67.7521,-33.7486,-50.0956,56.6988,83.0584,-67.1058,22.9495,-68.4604
0.42083,67.6208,-33.9493,-50.1953,56.6332,83.2485,-67.1333,22.9636,-68.4057
0.42500,67.5851,-34.1553,-50.2728,56.6338,83.4013,-67.1467,23.0045,-68.3662
0.42917,67.7005,-34.3140,-50.3349,56.6393,83.5426,-67.1575,23.0735,-68.3267
0.43333,67.9254,-34.3943,-50.4522,56.5529,83.7962,-67.1559,23.0338,-68.3343
0.43750,67.4530,-34.7642,-50.4944,56.5536,83.8133,-67.1666,23.0921,-68.2862
0.44167,67.3944,-34.9329,-50.6006,56.5160,83.9703,-67.1943,23.0885,-68.2430
0.44583,67.4319,-35.0975,-50.6703,56.5284,84.0854,-67.1920,23.0997,-68.1995
0.45000,67.2380,-35.3369,-50.7457,56.5275,84.1859,-67.2027,23.1688,-68.1633
0.45417,67.2140,-35.5227,-50.8208,56.5226,84.3002,-67.2167,23.2263,-68.1273
0.45833,67.4035,-35.5054,-50.9671,56.4716,84.5256,-67.2274,23.1756,-68.0851
0.46250,67.1237,-35.8509,-50.9943,56.4513,84.5291,-67.2425,23.2129,-68.0355
