trial,var,name,SFC,MER,BR,min,max
set_002,1,Var 1: Lead knee flexion (L),61.38810225350402,66.30756672842676,79.83000329676344,3.3382402457734277,88.77180372574024
set_002,2,Var 2: Trunk forward tilt,7.370271647629591,-4.406182838679427,-7.162203273714885,-30.840427488806935,7.498407938235478
set_002,3,Var 3: Trunk lateral tilt,2.516951347338684,6.631751973618664,-2.1598985856258937,-27.61130758307953,10.90140359188708
set_002,4,Var 4: Trunk axial rotation,-9.050507817735658,-27.690130767575305,-23.517214157254756,-28.147890789626793,10.370156163007477
set_002,5,Var 5: Shoulder abduction (R),16.141275133124296,35.060034315445286,32.31994834154362,-9.292799043808959,65.01189261007477
set_002,6,Var 6: Shoulder horizontal abduction (R),2.986106381998888,-24.774776329271845,-14.320633389510563,-31.78998088378948,26.63986116756154
set_002,7,Var 7: Shoulder long-axis rotation (R),2.8682910133177932,-20.060707548345114,-12.065382565214604,-21.186288683800285,20.799196909260516
set_002,8,Var 8: Elbow flexion (R),58.42721667155126,80.78697568587299,87.46694587464768,52.43003561264725,152.91673423164133
set_004,1,Var 1: Lead knee flexion (L),3.6226438853683827,29.555406892797826,29.23071481045565,3.5420716820170823,97.5576961020498
set_004,2,Var 2: Trunk forward tilt,-8.422048325431028,-6.276926365454265,-11.98172318009399,-28.32007522050604,6.170818049654612
set_004,3,Var 3: Trunk lateral tilt,-3.949623786554902,-13.881426922246522,-22.619889973790674,-22.619889973790674,19.6700034025873
set_004,4,Var 4: Trunk axial rotation,0.8320665573859307,-1.7910961680697963,7.983651332027432,-32.26564666623103,8.261509081917481
set_004,5,Var 5: Shoulder abduction (R),-0.2106726130222668,34.43238040849272,47.311596732687526,-15.201671537566424,69.70886734587418
set_004,6,Var 6: Shoulder horizontal abduction (R),-1.2707666069847272,34.228139697010455,-28.069868023459808,-33.59162963866914,36.96405903021346
set_004,7,Var 7: Shoulder long-axis rotation (R),-1.2707580153179086,27.641514200599985,-18.604673247563717,-19.361112485523282,27.641514200599985
