time,vicon_var1,vicon_var2,vicon_var3,vicon_var5,vicon_var4,vicon_var6,vicon_var7,vicon_var8,opensim_var1,opensim_var2,opensim_var3,opensim_var5,opensim_var4,opensim_var6,opensim_var7,opensim_var8,cardA_var1,cardA_var2,cardA_var3,cardA_var5,cardA_var4,cardA_var6,cardA_var7,cardA_var8,cardB_var1,cardB_var2,cardB_var3,cardB_var5,cardB_var4,cardB_var6,cardB_var7,cardB_var8
0.08333,39.534,-2.161,21.995,101.979,9.599,78.453,11.573,-3.167,58.078,-28.490,-45.811,72.614,58.702,-63.722,22.528,-69.365,156.655,-180.000,4.273,-13.485,13.711,1.893,6.579,-2.158,156.655,-180.000,4.273,-13.485,11.624,1.893,6.579,-2.158
0.08750,39.557,-2.063,22.025,102.018,9.843,78.455,11.602,-3.152,57.845,-29.145,-45.674,72.493,58.712,-63.748,22.468,-69.377,156.636,180.000,4.360,-13.585,13.930,1.891,6.605,-2.138,156.636,180.000,4.360,-13.585,11.818,1.891,6.605,-2.138
0.09167,39.580,-1.966,22.056,102.063,10.081,78.460,11.632,-3.136,57.919,-29.047,-45.823,72.658,58.729,-63.784,22.428,-69.392,156.617,-180.000,4.445,-13.692,14.148,1.888,6.635,-2.118,156.617,-180.000,4.445,-13.692,12.010,1.888,6.635,-2.118
0.09583,39.603,-1.869,22.088,102.113,10.312,78.466,11.663,-3.119,58.102,-28.893,-45.881,72.676,58.717,-63.782,22.405,-69.365,156.599,-180.000,4.530,-13.802,14.362,1.882,6.668,-2.099,156.599,-180.000,4.530,-13.802,12.198,1.882,6.668,-2.099
0.10000,39.625,-1.774,22.120,102.169,10.532,78.474,11.694,-3.102,57.803,-29.268,-45.919,72.733,58.744,-63.781,22.299,-69.391,156.582,180.000,4.612,-13.916,14.569,1.874,6.703,-2.081,156.582,180.000,4.612,-13.916,12.380,1.874,6.703,-2.081
0.10417,39.646,-1.680,22.153,102.231,10.739,78.484,11.725,-3.083,57.743,-29.437,-45.947,72.752,58.733,-63.781,22.279,-69.365,156.565,180.000,4.693,-14.031,14.769,1.864,6.741,-2.066,156.565,180.000,4.693,-14.031,12.554,1.864,6.741,-2.066
0.10833,39.663,-1.589,22.186,102.297,10.930,78.497,11.755,-3.064,57.648,-29.617,-45.969,72.773,58.776,-64.025,22.250,-69.384,156.549,180.000,4.772,-14.147,14.958,1.851,6.780,-2.053,156.549,180.000,4.772,-14.147,12.719,1.851,6.780,-2.053
0.11250,39.676,-1.500,22.220,102.367,11.105,78.512,11.784,-3.045,57.844,-29.401,-46.129,72.952,58.765,-64.016,22.231,-69.353,156.533,180.000,4.847,-14.263,15.136,1.835,6.820,-2.043,156.533,180.000,4.847,-14.263,12.873,1.835,6.820,-2.043
0.11667,39.685,-1.415,22.253,102.442,11.260,78.528,11.812,-3.025,57.771,-29.593,-46.175,73.020,58.778,-64.003,22.115,-69.361,156.517,180.000,4.918,-14.379,15.301,1.818,6.861,-2.037,156.517,180.000,4.918,-14.379,13.015,1.818,6.861,-2.037
0.12083,39.687,-1.333,22.287,102.519,11.395,78.548,11.838,-3.005,57.749,-29.731,-46.236,73.073,58.767,-64.002,22.092,-69.340,156.501,-180.000,4.986,-14.495,15.452,1.798,6.902,-2.036,156.501,-180.000,4.986,-14.495,13.142,1.798,6.902,-2.036
